phases,sfcode,numfr,numint,weight
MZ3,EPZ,1,0,0.52
MZ3,EPZ,1,0,1.22
MZ4,SLA,1,0,216
MZ4,SLA,0,1,94
MZ4,DAU,3,0,902
MZ4,CLO,1,0,10.61
MZ4,CLO,0,1,36.62
MZ4,AGS,0,1,2030
MZ4,DEC,1,0,2.81
MZ4,CLO,1,0,5.2
MZ4,SLA,0,13,26.02
MZ4,LAM,1,0,4.82
MZ4,SLA,2,0,17
MZ4,SLA,3,0,34
MZ4,COL,0,1,3
MZ4,SLA,6,0,226
MZ4,CLO,0,1,41
MZ4,CLE,0,1,4.8
MZ4,MTR,25,0,2222
MZ4,MTR,3,0,349
MZ4,ZZZ,0,1,336
MZ4,ZZZ,0,1,6
MZ4,ZZZ,19,0,1140
MZ4,SLA,1,0,187
MZ4,HEM,0,1,0.85
MZ4,SLA,0,12,48
MZ4,CLO,0,1,14.12
MZ4,TES,1,0,2
MZ4,HEM,0,1,9.51
MZ4,CLO,1,0,26.39
MZ4,CLO,0,1,13.18
MZ4,CLO,0,1,33.77
MZ4,MTR,4,0,2399
MZ4,EPG,1,0,1.01
MZ4,CLO,0,1,16.96
MZ4,EPG,1,1,0.9
PA,MTR,0,0,189
PA,MTR,13,0,60
PA,MTR,0,0,55
PA,CLO,1,0,4.64
PI Topsoil,TOO,1,0,18.23
PI Topsoil,VSH,1,0,13.69
PI Topsoil,YYY,1,0,4.9
PI Topsoil,EPG,0,1,1.05
PI Topsoil,ALN,1,0,1.51
PI1,CLO,2,0,40.03
PI1,SLA,0,5,9.76
PI1,CLO,2,0,15.03
PI1,SGT,1,1,40.03
PI1,CLO,0,1,11.26
PI1,SLA,3,0,38.82
PI1,TOO,1,0,75.07
PI1,DEC,1,0,29.78
PI1,CLO,2,0,1.76
PI1,YYY,1,0,0.2
PI2,CLO,4,0,12.02
PI2,CLO,1,0,5.66
PI2,CLO,1,0,12.49
PI2,YYY,2,0,6.73
PI2,EPG,2,0,1.46
PI2,CLO,1,0,14.15
